source,target,weight
Rome3,SouthAfrica,3
13,Barcelona,2
1,9,7
London4,SouthAfrica,2
10,9,3
Athens,Rome3,2
Athens,Rome2,3
Rome2,SouthAfrica,2
Berlin,London4,4
8,Rome2,2
Rome2,Rome3,4
London4,Rome2,2
7,8,4
Berlin,Rome3,3
1,8,2
Berlin,Rome2,3
2,Rome2,2
10,7,3
14,SouthAfrica,3
Athens,Berlin,2
Berlin,SouthAfrica,3
Rafah,SouthAfrica,2
8,9,2
Barcelona,SouthAfrica,2
7,9,5
