verb,verb_lemma,noun,dep,id
iniziarono,iniziare,manifestanti,nmod,c998fe5a-08fa-4622-b098-503211678f14
infiltrati,infiltrarsi,manifestanti,nmod,6e301491-6342-4df5-9865-5128fc51f230
uccisi,ucciso,attivisti,nsubj,4204f280-8211-4639-988c-9f4466733ec4
coinvolti,coinvolgere,manifestanti,obj,6c21a6f6-5f06-4932-9d36-518653a27aac
colpiti,colpire,manifestanti,nmod,6c21a6f6-5f06-4932-9d36-518653a27aac
scappa,scappare,manifestante,obj,6c21a6f6-5f06-4932-9d36-518653a27aac
sta,stare,manifestanti,obj,e5d8284c-4680-4397-ab5a-6b37adf909b9
venuta,venuto,militanti,nmod,ffe88d69-f13f-4015-92af-b31e9271c012
venuta,venuto,militanti,nmod,8576625a-4715-402f-8974-66a5effddb20
venuta,venuto,militanti,nmod,a9657531-b2c8-4b37-a41a-064bb5443915
venuta,venuto,militanti,nmod,c8ef0318-b434-4323-baee-3a39457a2fc8
venuta,venuto,militanti,nmod,31d0abcf-f037-466d-b2bc-a2355ca68a0d
venuta,venuto,militanti,nmod,0c281457-3275-44c2-a8a1-ae757063c555
venuta,venuto,militanti,nmod,265dc3a2-6462-48ab-843d-56f51e5d41d5
venuta,venuto,militanti,nmod,940a0f8c-3a3e-4b7b-b7f6-2a5353c51039
venuta,venuto,militanti,nmod,7295c6ca-60b9-42c6-b886-851826cb17c3
venuta,venuto,militanti,nmod,b12dab01-4882-4e09-af9b-265cbee3b2e9
tenuti,tenere,manifestanti,nsubj:pass,a2eb7726-5486-47a0-9c6d-0bdc59cc2c9e
venuta,venuto,militanti,nmod,1dd00028-d92c-493c-af33-422df1c251b1
bloccato,bloccare,manifestanti,ROOT,23e1ab83-f8b5-4f88-b52c-154f6f4565ae
attribuiva,attribuire,manifestante,nmod,c775d159-06c8-4de1-b4bf-d1faba636d4d
sui,sul,manifestanti,obj,c775d159-06c8-4de1-b4bf-d1faba636d4d
venuta,venuto,militanti,nmod,b0743957-e41f-48f4-a9f3-469e5d262c36
avvicinando,avvicinare,manifestanti,nmod,90ce9bb5-4dc8-4a3e-a012-7c2569fc92c3
mettendo,mettere,manifestanti,obj,90ce9bb5-4dc8-4a3e-a012-7c2569fc92c3
assaltando,assaltare,manifestanti,nmod,90ce9bb5-4dc8-4a3e-a012-7c2569fc92c3
avvicinando,avvicinare,manifestanti,nmod,4767af05-6cf9-4d71-a820-844eb7929d5b
mettendo,mettere,manifestanti,obj,4767af05-6cf9-4d71-a820-844eb7929d5b
assaltando,assaltare,manifestanti,nmod,4767af05-6cf9-4d71-a820-844eb7929d5b
scoppiati,scoppiare,manifestanti,nmod,bf8901ba-06d5-43ab-ba9a-c76a9c740e98
accorsi,accorso,manifestanti,obl,9cd6a46d-ad79-40f7-9ca6-a5edb5dd9242
attacca,attaccare,manifestanti,nmod,26ff62c7-b7af-473c-a70e-8897deca24f0
stato,stare,manifestante,advcl,26ff62c7-b7af-473c-a70e-8897deca24f0
dire,diro,attivisti,conj,08a7f779-0119-41f1-a909-606af0d56d84
compresi,compreso,manifestanti,obl,4b4e9ae1-61df-4698-9dc0-6fcc442d2b91
presentato,presentare,manifestanti,nsubj,4b4e9ae1-61df-4698-9dc0-6fcc442d2b91
sfilarono,sfilare,manifestanti,nsubj,91e22e4d-5325-4fe9-b1a3-daa8dde2bf2d
corazzati,corazzato,manifestanti,xcomp,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
presi,preso,manifestanti,obj,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
lasciate,lasciata,manifestanti,nsubj,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
lasciate,lasciata,manifestanti,nsubj,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
lasciate,lasciata,manifestanti,nsubj,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
