adj,noun,dep,id
sessuale,violenza,conj,4ef9d4db-766b-40c4-bd40-744d5adfa13d
subite,violenze,obj,87222c46-441e-447b-b833-6fb433d05d02
sessuale,violenza,obl,87222c46-441e-447b-b833-6fb433d05d02
sessuale,violenza,conj,87222c46-441e-447b-b833-6fb433d05d02
sessuale,violenza,conj,87222c46-441e-447b-b833-6fb433d05d02
inaudita,violenza,nmod,f183610c-8103-4272-8176-f34f53ba29cf
usata,violenza,obj,2e5972df-35d7-40b9-98ba-bba2ac401afe
subite,violenze,obj,a9a0449b-f87b-46a6-b081-5ca59e6101f5
sessuale,violenza,obl,a9a0449b-f87b-46a6-b081-5ca59e6101f5
sessuale,violenza,conj,a9a0449b-f87b-46a6-b081-5ca59e6101f5
sessuale,violenza,conj,a9a0449b-f87b-46a6-b081-5ca59e6101f5
primi,violenza,nsubj,95333923-a6b0-4723-a6aa-56262b626901
gratuita,violenza,nmod,ef5eef5d-26eb-4d70-96a5-4f5d16cbf123
alle,violenze,nmod,0adddf7e-5bce-45c2-bf85-455e4c30e96c
vere,violenze,nmod,0adddf7e-5bce-45c2-bf85-455e4c30e96c
possibili,violenze,nmod,ed70b53f-be4e-4147-9c1a-8f27e0949a41
possibili,violenze,nmod,ed70b53f-be4e-4147-9c1a-8f27e0949a41
fisiche,violenze,nsubj,05e1328d-71ec-4d3c-8bef-8b3f36d7b952
giustificabile,violenza,obl,4a967238-fc43-4120-ba95-cb2a1b44eb22
sistematica,violenza,obl,cce88fd5-f275-45d4-8778-ef0f99ad7a47
avvenute,violenze,nsubj,ee779cd4-4391-4ac4-b0e1-093282684a84
privata,violenza,conj,3a61791e-10bb-4e75-95cb-6432dff04d94
privata,violenza,conj,3a61791e-10bb-4e75-95cb-6432dff04d94
privata,violenza,conj,3a61791e-10bb-4e75-95cb-6432dff04d94
vandalica,violenza,compound,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
pratica,violenza,compound,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
essenziale,violenza,ROOT,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
offensiva,violenza,obj,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
efferate,violenze,conj,e25adf67-cf9d-4bc3-b174-b6927891ca6e
privata,violenza,nmod,d9778f78-c780-432c-a8a1-be64b4b7f3ed
verbale,violenza,conj,266e9c4a-5b39-4e78-9675-297c92fb0071
verbale,violenza,conj,9db80462-772a-47b0-a15c-754b50e28ca8
verbale,violenza,nmod,9db80462-772a-47b0-a15c-754b50e28ca8
barbarica,violenza,nsubj,492e5d80-ee2b-4c41-bf37-5d49da3ee39c
della,violenze,obj,c947941e-a6d4-42ec-a55f-a406990a512b
estrema,violenza,obl,a571f82b-7f9a-46c7-a6ae-dbff89f9cc22
diaz,violenze,obj,4a40df39-9c8a-43b3-8c08-515e16b3614d
fisiche,violenze,nsubj,4a40df39-9c8a-43b3-8c08-515e16b3614d
ingiustificate,violenze,obl,c8180ffa-92f8-4f34-9561-8b42af68028d
ingiustificate,violenze,obl,56ca2a86-03de-41c0-be4d-7e43ab40de11
sessuali,violenze,nmod,a67ae174-14c1-49a5-8fb3-d1dc3451fe71
fisiche,violenze,nmod,a67ae174-14c1-49a5-8fb3-d1dc3451fe71
ingiustificate,violenze,obl,481d0f4d-b5eb-4dc7-bb62-36956e09cc42
ingiustificate,violenze,obl,a549a90f-2aab-4671-8472-67a773b9fb16
verbale,violenza,conj,480d65c4-e2db-45b2-b4b5-772e36e5a56e
diaz,violenze,obj,63242da8-0f6e-4c36-9748-38bab5e8c649
ingiustificate,violenze,obl,fd0204d3-4c8e-4c9c-a00c-e065c462d50d
ingiustificate,violenze,obl,a02e3ee9-f21a-44c7-b28f-5c1d09be3057
estrema,violenza,obl,edf7d998-6eab-4e3e-a9ee-41b3432bb6dc
giustifico,violenza,obl,638d35a4-2cf2-468e-b9af-ea2f36f83d58
altre,violenze,nmod,638d35a4-2cf2-468e-b9af-ea2f36f83d58
estrema,violenza,obl,851555b6-23b5-41a5-849f-f805dbf47807
grave,violenza,obj,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
peggiori,violenza,nsubj,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
inaudita,violenza,obl,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
sessuale,violenza,conj,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
estrema,violenza,obl,9b46044a-31fa-4bac-bef4-834f51238de4
grande,violenza,nmod,eb7edfff-0c7e-4070-95a3-c904fa458b83
ingiustificate,violenze,obl,7f72c87d-2e11-4edc-ae8c-d142ecbee827
priva,violenza,nsubj:pass,57d29945-edcc-4323-873f-172ac69ce10f
mobile,violenza,flat:name,57d29945-edcc-4323-873f-172ac69ce10f
veloce,violenza,flat:name,57d29945-edcc-4323-873f-172ac69ce10f
della,violenze,obj,518b00d0-9328-4aa9-8ca6-5ee2b8190b1d
sessuale,violenza,nmod,ea85a00e-7407-4291-8c79-e689d290cdb5
assurda,violenza,ROOT,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
gratuite,violenze,obj,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
sessuale,violenza,obl,a176a9e2-1058-4344-a8f7-7d0c1a3b6579
sessuale,violenza,nmod,a176a9e2-1058-4344-a8f7-7d0c1a3b6579
estrema,violenza,obl,f723e3a3-e57f-4759-8fd8-033a6b822a23
sessuale,violenza,obl,16bfbc7e-e5b6-4cda-9ff7-a9b9526e5026
sessuale,violenza,obl,16bfbc7e-e5b6-4cda-9ff7-a9b9526e5026
sessuale,violenza,nmod,16bfbc7e-e5b6-4cda-9ff7-a9b9526e5026
stessa,violenza,obl,0d5afe50-87f2-4a32-934f-544b9421fd4c
gratuite,violenze,conj,6a12dcff-a7fb-44eb-8b64-4678db815c26
