verb,verb_lemma,noun,dep,id
cercata,cercare,CARLO,obl,9db80462-772a-47b0-a15c-754b50e28ca8
celebrato,celebrare,CARLO,nmod,10e86aa4-13b8-4a9a-bea6-5a57115376ab
armato,armare,CARLO,nsubj,a571f82b-7f9a-46c7-a6ae-dbff89f9cc22
avvenuta,avvenire,CARLO,nmod,48b7c62f-c66a-45bb-824d-3e1fffd745e5
morì,morire,CARLO,nsubj,b7735543-93c3-46ec-b57e-50745d2ef4ba
iba,iba,CARLO,obj,bc284268-796b-490a-859e-4e441b6c771e
iba,iba,CARLO,obj,bc284268-796b-490a-859e-4e441b6c771e
china,chino,CARLO,nsubj,c3ef6edb-c103-423e-a41c-83a50d545977
volto,voltare,CARLO,obj,1314b067-e350-4173-9f32-905d910525d7
senatrice,senatrice,CARLO,nmod,25ea52f5-f185-43b2-98a5-7894ecea19e8
morto,morire,CARLO,obl,c9a07bab-8477-49ed-8792-64235c69710e
muore,morire,CARLO,nsubj,d56b5ebb-49c1-4ea5-853b-3d3a2b295af9
lanciando,lanciare,CARLO,ROOT,c3f5e0e0-2671-4d07-853c-1d1091fd09fc
armato,armare,CARLO,nsubj,edf7d998-6eab-4e3e-a9ee-41b3432bb6dc
armato,armare,CARLO,nsubj,851555b6-23b5-41a5-849f-f805dbf47807
intended,intended,CARLO,ROOT,ddc75f00-b2c6-4ba1-92ab-b3092ebdb125
inadequate,inadequate,CARLO,obl,ddc75f00-b2c6-4ba1-92ab-b3092ebdb125
ospita,ospitare,CARLO,nsubj,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
dispone,disporre,CARLO,nsubj,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
armato,armare,CARLO,nsubj,9b46044a-31fa-4bac-bef4-834f51238de4
giustiziato,giustiziare,CARLO,nsubj:pass,994947ff-474d-4906-8577-c7a6c1c6d951
restò,restare,CARLO,conj,ca7b8bd4-33fa-4aea-b291-fa9589fba4eb
allungare,allungare,CARLO,nmod,180ed2cd-2188-49d3-8a01-0e85b936b19e
fa,fare,CARLO,xcomp,ed3a6724-d19b-4b13-85be-5026e9a3a208
morto,morire,CARLO,nmod,cfe06b56-f67f-468c-97a3-9aa481d1d2cd
avvicina,avvicinare,CARLO,ROOT,25960f9c-141c-4a0b-9484-33c0f4bdccd9
avvicina,avvicinare,CARLO,ROOT,25960f9c-141c-4a0b-9484-33c0f4bdccd9
