adj,noun,dep,id
pacifici,manifestanti,nsubj,26ff62c7-b7af-473c-a70e-8897deca24f0
altri,manifestanti,nmod,437454a0-4b1a-4158-8151-53348083c341
inermi,manifestanti,obj,08a7f779-0119-41f1-a909-606af0d56d84
pacifici,manifestanti,obl,08a7f779-0119-41f1-a909-606af0d56d84
palestinesi,manifestanti,obl,42cfb219-81d4-499d-b3be-2805a8cb0567
sdraiati,manifestanti,obj,4b4e9ae1-61df-4698-9dc0-6fcc442d2b91
diaz,manifestanti,nsubj,91e22e4d-5325-4fe9-b1a3-daa8dde2bf2d
stessi,manifestanti,obj,0b792856-169d-4727-a7c4-87fb33b936c9
sui,manifestanti,nsubj,0b792856-169d-4727-a7c4-87fb33b936c9
stessi,manifestanti,obj,45a643b5-2674-4d5b-9a5b-7fecca34b3e3
sui,manifestanti,nsubj,45a643b5-2674-4d5b-9a5b-7fecca34b3e3
stessi,manifestanti,obj,55474670-98b8-4052-89bd-d4a70633aa78
inermi,manifestanti,xcomp,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
inerme,manifestante,amod,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
inerme,manifestante,amod,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
indifendibile,manifestanti,nsubj,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
indifendibile,manifestanti,nsubj,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
indifendibile,manifestanti,nsubj,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
altri,manifestanti,nsubj,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
pacifici,manifestanti,ROOT,57f9dfe5-1849-4d51-8834-7b51425f60ec
ignari,manifestanti,ROOT,57f9dfe5-1849-4d51-8834-7b51425f60ec
pieno,manifestanti,obl,ab44f4f4-b8d2-49d8-b5d5-139b9d52d89c
carnefici,manifestanti,nsubj,ab44f4f4-b8d2-49d8-b5d5-139b9d52d89c
inermi,dimostranti,obj,b30aa296-aa28-4e81-bca1-b91038c0eeca
pacifici,manifestanti,nsubj:pass,b30aa296-aa28-4e81-bca1-b91038c0eeca
inermi,dimostranti,obj,b30aa296-aa28-4e81-bca1-b91038c0eeca
cattolici,manifestanti,obj,b30aa296-aa28-4e81-bca1-b91038c0eeca
contrari,manifestanti,nmod,dc822a3c-0eba-4b1e-a9b3-17fa72623949
violenti,manifestanti,obj,dc822a3c-0eba-4b1e-a9b3-17fa72623949
altri,manifestanti,nsubj:pass,8d9dba03-12e2-4cea-8c15-d54df3d63c1c
anti,attivisti,nsubj,37a68b7f-25a1-41ed-8ee1-985a70a37a23
pacifici,manifestanti,obl,fe91dae3-38b1-4349-827e-86a5b60654d5
pacifici,manifestanti,obl,76bbc2cc-ceb0-4687-b979-69f37c100918
pacifici,manifestanti,nsubj:pass,566c77a3-dc42-47b2-9442-1454fcfda938
veneto,manifestante,nmod,566c77a3-dc42-47b2-9442-1454fcfda938
altri,manifestanti,nmod,e6e65e4f-2338-4925-b3ed-e514bdc1721a
altri,manifestanti,nmod,a01cb207-4b76-45a1-aad7-2c90d2bdb812
numerosi,attivisti,obj,6dba5aad-cdf5-4db0-bf3e-1de97a23fd5b
altri,manifestanti,nsubj,9ba45d5d-4b43-4da5-91b9-b00a3267102b
feriti,manifestanti,conj,3c1f0981-f773-4630-8784-d71ab952105e
violento,manifestante,nsubj,484d9b4e-a231-4741-b1ae-8513a881af18
pacifici,manifestanti,obj,80260d1d-ff03-484d-8f1a-d6ffa8aa42eb
pacifici,manifestanti,obj,80260d1d-ff03-484d-8f1a-d6ffa8aa42eb
andarsi,manifestanti,obj,80260d1d-ff03-484d-8f1a-d6ffa8aa42eb
violenti,manifestanti,conj,4126115b-dfbb-430e-afca-e5aca37f387c
inermi,manifestanti,nmod,4126115b-dfbb-430e-afca-e5aca37f387c
violenti,manifestanti,nmod,4126115b-dfbb-430e-afca-e5aca37f387c
violenti,manifestanti,nsubj,4126115b-dfbb-430e-afca-e5aca37f387c
altri,manifestanti,obl,4ef9d4db-766b-40c4-bd40-744d5adfa13d
giovane,manifestante,obl,c61cf346-eb98-4884-82b4-4fac158183a4
