w,s,ntarget,ntogether
,-3.9829747414004304,1401,73
gente,0.1865728184580577,194,73
no,-3.8684213022325333,455,42
agente,1.6955402005285236,73,73
me,-3.6264714977882524,418,45
are,-3.4559951044532906,77,30
