w,s,ntarget,ntogether
chiama,-3.7558474880949357,76,31
invece,-3.6199659181254593,414,40
casi,-3.493312487755423,118,37
presenta,-3.5303537594357723,37,38
social,-3.9177071176008904,130,42
morte,-3.7279427883605156,651,51
cari,-3.124888651327608,34,96
arma,-3.34208864874097,66,48
reparto,-2.597802506689837,113,31
strada,-3.366802305323808,227,45
stanza,-3.334884930277783,33,30
governo,-3.523664771284976,360,31
passa,-3.6730892395356625,87,45
manganelli,-2.309573836793455,74,25
meno,-3.941549542252922,306,41
esso,-3.675716795180399,40,162
sempre,-3.932639214626557,854,46
molti,-3.3754781792505657,307,31
zucca,-2.2359968936415675,38,26
lancia,-2.9899957881047645,47,33
avere,-3.356567105091655,288,32
de,-3.8799492018169417,944,1149
fa,-3.9095509407233267,750,418
risulta,-3.4557649024446997,55,25
inizia,-3.6278261022445926,70,32
violenza,-3.0583141607049384,276,36
state,-3.5161914456232677,379,48
testimoni,-2.858040665778669,42,42
trova,-3.220601002864681,179,83
dichiara,-3.086422370499812,32,37
rese,-3.6414641362712854,31,93
lug,-2.942326101641777,34,139
2001,-2.9527649195100993,445,131
tutte,-3.695369569132134,376,27
propri,-3.813716170743037,79,70
mente,-3.7418895847670273,72,237
dati,-3.000296773741894,80,37
so,-3.9850573214953866,194,789
molto,-4.184280226842437,474,26
prove,-3.079120232872027,67,32
euro,-3.380692984881366,133,87
tale,-3.768312396535123,216,51
mette,-4.1613125962031,87,27
due,-3.80264014640958,1288,81
visto,-3.3115865827213615,373,38
foto,-3.7895733672237917,261,34
dice,-3.8378384591837333,301,44
and,-4.044937020314597,1003,293
film,-3.0094777998162803,118,37
pena,-3.7855366644945985,107,30
alta,-3.4973837401982024,53,30
soprattutto,-3.5791439236052045,272,25
ore,-3.994578310583767,350,214
tre,-3.650226114212075,446,250
quei,-3.4885843465594775,412,31
rispetto,-3.4921325466155744,272,25
può,-4.060982010497943,628,29
tolemaide,-2.8887939476663202,86,31
tutta,-3.645664605946767,293,27
egli,-3.764159224257622,59,116
fatto,-3.784321668950357,998,69
primo,-3.5782097806134074,497,38
allora,-3.6469665199439656,307,32
servizi,-3.4356203363522324,135,42
dietro,-3.4843098209343655,200,37
giorni,-3.3942215851111923,536,49
lavoro,-3.6319864049795845,301,36
stata,-3.6195848931637147,663,60
sassi,-3.0833396484147353,65,37
città,-3.557076829576526,357,32
lacrimogeni,-2.5627697331740666,109,34
opera,-3.056707138911536,84,97
metri,-3.1705683930826476,193,27
alimonda,-3.349342818818938,236,49
deve,-3.38243362935915,322,32
no,-4.026328671629107,455,1092
essi,-3.4726881175859634,57,169
pur,-3.8144580105396697,157,46
responsabilità,-2.7273917128686205,183,35
rappresenta,-3.079426277250851,72,31
questore,-2.6579572211188425,89,29
gianni,-1.9499033838749242,51,28
dopo,-3.6068241234276104,1409,111
cerca,-3.5905076822555193,112,38
fra,-3.9374175889076337,268,89
lato,-3.9374049106995717,71,27
piazza,-3.1762418241619295,971,127
roma,-4.19074815352391,269,39
manifestazione,-2.9529673691514424,196,26
venti,-3.8668259960569853,62,26
altro,-4.014762069884056,402,34
quel,-3.9584591811938012,821,162
luglio,-2.854135640976275,696,138
testa,-3.520044389776911,292,60
sopra,-3.835735408986954,111,35
mani,-2.96691612354394,156,316
cura,-3.8186935103065243,43,29
dura,-3.0608833213516955,32,122
vicina,-3.0412209602810414,35,34
altre,-3.5709806129660437,350,29
guarda,-3.859657506578373,62,25
stato,-3.3143024364310545,1732,232
numero,-3.0579944164975776,141,44
g8,-3.0600953206587818,725,116
soli,-3.8289139500347362,66,31
punto,-3.4731953455958235,358,32
anni,-3.86841203921262,1373,132
parti,-3.922120023185775,84,74
porta,-3.6749349882468803,145,100
usa,-3.3366124055550195,80,129
molotov,-2.0685518458077365,71,31
pare,-4.0899695473711954,71,31
sotto,-3.761465480399159,456,46
uffici,-3.633470380132927,43,42
ministro,-3.1191579766186233,207,32
fare,-3.894757380746163,672,47
quando,-3.9532585018292927,1034,46
festa,-2.8178853171861133,35,223
presi,-3.679099020696123,30,40
tanto,-3.6160484805406554,308,39
parte,-3.3141306509661366,1096,138
condanna,-2.6563385107098556,178,89
poi,-3.843978444640685,1194,73
vere,-3.772145869828055,35,52
fini,-3.701793816042193,68,53
diaz,-2.1880533902218207,331,182
auto,-3.4440934151513654,65,78
diritti,-2.687167285890233,343,82
durante,-2.879942234136553,727,117
