w,s,ntarget,ntogether
,-4.105886322662272,1401,122
ore,-3.4200756283661757,350,31
genova,-2.9051175365536146,1056,27
manifestante,1.1819785969436583,122,122
CARLO,-2.330215560690522,2313,45
no,-3.9093784948716057,455,95
cia,-3.5326864038407146,49,33
que,-3.4050940290336307,277,54
mani,-1.3083032983688498,156,122
fa,-3.792338434478486,750,43
ucciso,-1.1917024177341178,311,28
